127.0.0.1 - - [17/May/2018:13:19:41 +0800] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [17/May/2018:13:19:42 +0800] "GET /Practical_Training/jsp/login.jsp HTTP/1.1" 200 5626
0:0:0:0:0:0:0:1 - - [17/May/2018:13:19:42 +0800] "GET /Practical_Training/css/slide-unlock.css HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [17/May/2018:13:19:42 +0800] "GET /Practical_Training/js/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [17/May/2018:13:19:42 +0800] "GET /Practical_Training/js/jquery.slideunlock.js HTTP/1.1" 200 5528
0:0:0:0:0:0:0:1 - - [17/May/2018:13:19:42 +0800] "GET /Practical_Training/img/apic21738.jpg HTTP/1.1" 200 1239176
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:09 +0800] "GET /Practical_Training/jsp/login.jsp HTTP/1.1" 200 5626
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:09 +0800] "GET /Practical_Training/css/slide-unlock.css HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:09 +0800] "GET /Practical_Training/js/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:09 +0800] "GET /Practical_Training/js/jquery.slideunlock.js HTTP/1.1" 200 5528
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:09 +0800] "GET /Practical_Training/img/apic21738.jpg HTTP/1.1" 200 1239176
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:09 +0800] "GET /favicon.ico HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:57 +0800] "POST /Practical_Training/jsp/loginStu HTTP/1.1" 200 8259
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:57 +0800] "GET /Practical_Training/css/pageloader.css HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:57 +0800] "GET /Practical_Training/js/jquery.js HTTP/1.1" 200 258648
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:57 +0800] "GET /Practical_Training/js/pageloader.js HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [17/May/2018:13:20:57 +0800] "GET /Practical_Training/jsp/page2.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [17/May/2018:13:21:01 +0800] "GET /Practical_Training/jsp/logoff.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:21:01 +0800] "GET /Practical_Training/jsp/login.jsp HTTP/1.1" 200 5626
0:0:0:0:0:0:0:1 - - [17/May/2018:13:26:40 +0800] "GET /Practical_Training/jsp/login.jsp HTTP/1.1" 200 5646
0:0:0:0:0:0:0:1 - - [17/May/2018:13:26:43 +0800] "GET /Practical_Training/jsp/login.jsp HTTP/1.1" 200 5646
0:0:0:0:0:0:0:1 - - [17/May/2018:13:26:43 +0800] "GET /Practical_Training/jsp/login.jsp HTTP/1.1" 200 5646
0:0:0:0:0:0:0:1 - - [17/May/2018:13:27:10 +0800] "GET /Practical_Training/jsp/login.jsp HTTP/1.1" 200 5646
0:0:0:0:0:0:0:1 - - [17/May/2018:13:27:10 +0800] "GET /Practical_Training/css/slide-unlock.css HTTP/1.1" 200 902
0:0:0:0:0:0:0:1 - - [17/May/2018:13:27:10 +0800] "GET /Practical_Training/js/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [17/May/2018:13:27:10 +0800] "GET /Practical_Training/js/jquery.slideunlock.js HTTP/1.1" 200 5528
